schema_version,configuration,reference,metric,n,mean,median,std,min,max,ci95_low,ci95_high
2.0,multi_expert_no_arbiter,multi_expert_full,total_latency_seconds,100,-0.00034936297684907915,-0.00031059933826327324,0.007684589807064875,-0.037871500477194786,0.03577530011534691,-0.0018555425790337948,0.0011568166253356363
2.0,multi_expert_no_arbiter,rule_baseline,problem_detection_f1,100,0.06033333333333333,0.0,0.17388981185413557,0.0,1.0,0.02625093020992276,0.09441573645674389
2.0,multi_expert_no_arbiter,rule_baseline,expected_operation_coverage,100,0.15,0.0,0.3570714214271425,0.0,1.0,0.08001400140028007,0.2199859985997199
2.0,multi_expert_no_arbiter,rule_baseline,unsafe_operation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,rule_baseline,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,rule_baseline,validation_pass,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,rule_baseline,total_latency_seconds,100,0.007222308050841093,0.007425699848681688,0.006549300009720524,-0.013170200400054455,0.041423799470067024,0.00593864524893587,0.008505970852746316
2.0,multi_expert_router_only,multi_expert_full,problem_detection_f1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,multi_expert_full,expected_operation_coverage,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,multi_expert_full,unsafe_operation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,multi_expert_full,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,multi_expert_full,validation_pass,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,multi_expert_full,total_latency_seconds,100,-0.007455151025205851,-0.007308350410312414,0.007194085135377732,-0.042914499528706074,0.027088099159300327,-0.008865191711739885,-0.006045110338671816
2.0,multi_expert_router_only,rule_baseline,problem_detection_f1,100,0.06033333333333333,0.0,0.17388981185413557,0.0,1.0,0.02625093020992276,0.09441573645674389
2.0,multi_expert_router_only,rule_baseline,expected_operation_coverage,100,0.15,0.0,0.3570714214271425,0.0,1.0,0.08001400140028007,0.2199859985997199
2.0,multi_expert_router_only,rule_baseline,unsafe_operation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,rule_baseline,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,rule_baseline,validation_pass,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,rule_baseline,total_latency_seconds,100,0.00011652000248432159,0.0006475998088717461,0.006338393301485555,-0.02236300054937601,0.02579589933156967,-0.0011258050846068473,0.0013588450895754903
2.0,multi_expert_oracle_router,multi_expert_full,problem_detection_f1,100,0.40800000000000003,0.33333333333333337,0.4263832391952886,0.0,1.0,0.3244288851177235,0.49157111488227656
2.0,multi_expert_oracle_router,multi_expert_full,expected_operation_coverage,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
